,title,authors,average_rating,isbn,isbn13,num_pages,ratings_count,text_reviews_count,publication_date,publisher,publisher_family
19,Notes from a Small Island,Bill Bryson,3.91,0380727501,9780380727506,324,80609,3301,1997-05-28,William Morrow Paperbacks,William Morrow
20,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,0380715430,9780380715435,270,28489,2085,1991-09-28,William Morrow Paperbacks,William Morrow
21,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,0345538374,9780345538376,1728,101233,1550,2012-09-25,Ballantine Books,Ballantine
22,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,0618517650,9780618517657,1184,1710,91,2004-10-21,Houghton Mifflin Harcourt,Houghton Mifflin Harcourt
23,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,0618346252,9780618346257,398,2128944,13670,2003-09-05,Houghton Mifflin Harcourt,Houghton Mifflin Harcourt
24,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,0618260587,9780618260584,1216,1618,140,2002-10-01,Houghton Mifflin Harcourt,Houghton Mifflin Harcourt
25,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,0618391002,9780618391004,218,19822,46,2003-11-05,Houghton Mifflin Harcourt,Houghton Mifflin Harcourt
26,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,0618510826,9780618510825,224,359,6,2004-11-15,Houghton Mifflin Harcourt,Houghton Mifflin Harcourt
27,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,097669400X,9780976694007,558,1430,59,2005-07-28,Pragmatic Bookshelf,Pragmatic Bookshelf
28,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,0689840926,9780689840920,208,270244,12017,2000-04-01,Atheneum Books for Young Readers: Richard Jackson Books,Atheneum
29,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0,1557344493,9781557344496,48,36,2,1994-08-28,Teacher Created Resources,Teacher Created Resources
30,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,0385326505,9780385326506,144,2067,334,2001-01-23,Delacorte Press,Delacorte Press
31,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33,1575606240,9781575606248,56,6,0,2003-06-10,Cherry Lane Music Company,Cherry Lane Music
32,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,1595580271,9781595580276,228,99,16,2005-11-01,The New Press,The New Press
33,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,1595962808,9781595962805,304,167,4,2005-11-01,Changeling Press,Changeling Press
34,Changeling (Changeling  #1),Delia Sherman,3.6,0670059676,9780670059676,256,978,111,2006-08-17,Viking Juvenile,Viking
35,The Changeling Sea,Patricia A. McKillip,4.06,0141312629,9780141312620,137,4454,302,2003-04-14,Firebird,Firebird
36,The Changeling,Zilpha Keatley Snyder,4.17,0595321801,9780595321803,228,1176,96,2004-06-08,iUniverse,iUniverse
37,The Changeling,Kate Horsley,3.55,1590301943,9781590301944,339,301,43,2005-04-12,Shambhala,Shambhala
38,The Changeling (Daughters of England  #15),Philippa Carr,3.98,0449146979,9780449146972,369,345,12,1990-08-28,Ivy Books,Ivy Books
39,The Known World,Edward P. Jones,3.83,0061159174,9780061159176,388,29686,2626,2006-08-29,Amistad,Amistad
40,The Known World,Edward P. Jones/Kevin R. Free,3.83,006076273X,9780060762735,14,55,12,2004-06-15,HarperAudio,HarperAudio
41,The Known World,Edward P. Jones,3.83,0060749911,9780060749910,576,22,3,2004-06-15,Harper,Harper
42,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,0273704745,9780273704744,334,1456,82,2006-05-15,FT Press,FT Press
43,Artesia: Adventures in the Known World,Mark Smylie,4.13,1932386106,9781932386103,352,52,4,2005-12-14,Archaia,Archaia
44,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,0374517193,9780374517199,416,562,37,1982-06-01,Farrar  Straus and Giroux,"Farrar, Straus and Giroux"
45,Uncommon Carriers,John McPhee,3.95,0374280398,9780374280390,248,1630,203,2006-05-16,Farrar Straus Giroux,Farrar Straus Giroux
46,Heirs of General Practice,John McPhee,4.17,0374519749,9780374519742,128,268,22,1986-04-01,Farrar  Straus and Giroux,"Farrar, Straus and Giroux"
47,The Control of Nature,John McPhee,4.24,0374522596,9780374522599,288,3498,305,1990-09-01,Farrar  Straus and Giroux,"Farrar, Straus and Giroux"
48,Annals of the Former World,John McPhee,4.34,0374518734,9780374518738,720,3115,228,1999-01-06,Farrar  Straus and Giroux,"Farrar, Straus and Giroux"
49,Coming Into the Country,John McPhee,4.22,0374522871,9780374522872,448,5704,261,1991-04-01,Farrar  Straus and Giroux,"Farrar, Straus and Giroux"
50,Giving Good Weight,John McPhee,4.23,0374516006,9780374516000,288,542,36,1994-04-01,Farrar  Straus and Giroux,"Farrar, Straus and Giroux"
51,Rising from the Plains,John McPhee,4.23,0374520658,9780374520656,208,1341,98,1987-11-01,Farrar  Straus and Giroux,"Farrar, Straus and Giroux"
52,The Heidi Chronicles,Wendy Wasserstein,3.75,0822205106,9780822205104,81,1423,70,2002-03-01,Dramatists Play Service,Dramatists Play Service
53,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,0679734996,9780679734994,249,2766,64,1991-07-02,Vintage,Vintage
54,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94,1596670231,9781596670235,138,31,1,2006-03-29,Routledge,Routledge
55,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77,1581807740,9781581807745,128,62,4,2006-03-14,North Light Books,North Light Books
56,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,0800793617,9780800793616,192,860,53,2003-09-01,Chosen Books,Chosen Books
57,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68,0871202867,9780871202864,108,77,2,1997-01-28,Association for Supervision & Curriculum Development,ASCD
58,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,0753454947,9780753454947,352,153317,2257,2002-11-15,Kingfisher,Kingfisher
59,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25,0871209993,9780871209993,192,55,5,2004-11-15,ASCD,ASCD
60,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46,1852402873,9781852402877,192,34,6,2003-04-28,Sovereign World,Sovereign World
61,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,0761129588,9780761129585,832,11797,659,2003-10-16,Workman Publishing Company,Workman
62,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,0972016414,9780972016414,123,34,8,2004-05-10,One Hour Entertainment,One Hour Entertainment
63,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,1581805632,9781581805635,128,78,4,2004-08-19,North Light Books,North Light Books
64,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,0441294677,9780441294671,423,2785,166,1987-06-15,Ace Books,Ace
65,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,0441102670,9780441102679,436,38778,568,1987-07-01,Ace Books,Ace
66,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,0441172695,9780441172696,331,97494,2359,1987-07-15,Ace Books,Ace
67,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,0765306476,9780765306470,592,784,21,2004-07-01,Tor Books,Tor Books
68,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,0399128980,9780399128981,480,272,20,1984-04-16,Putnam,Putnam
69,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,0765353709,9780765353702,426,4789,83,2006-08-29,Tor Science Fiction,Tor
70,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,0441328008,9780441328000,471,45388,644,1987-08-15,Ace Books,Ace
71,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,0618212906,9780618212903,192,26153,102,2002-06-12,Houghton Mifflin Harcourt,Houghton Mifflin Harcourt
72,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,034541005X,9780345410054,544,69167,4551,1996-09-29,Ballantine Books,Ballantine
73,The Power of One (The Power of One  #1),Bryce Courtenay,4.35,0385732546,9780385732543,291,45,13,2005-09-13,Delacorte Books for Young Readers,Delacorte
74,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,0785260056,9780785260059,256,16,1,2004-11-01,Thomas Nelson,Thomas Nelson
75,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,0471780936,9780471780939,205,174,16,2006-05-19,Wiley,Wiley
76,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67,0325001537,9780325001531,240,10,0,2000-02-07,Heinemann Drama,Heinemann
77,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,006076287X,9780060762872,336,76,9,2005-05-03,William Morrow Paperbacks,William Morrow
78,eBay for Dummies,Marsha Collier,3.5,0470045299,9780470045299,386,111,9,2006-10-30,Wiley,Wiley
79,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62,0072262788,9780072262780,260,24,0,2006-01-24,McGraw-Hill,McGraw-Hill
80,Starting an eBay Business for Dummies,Marsha Collier,3.55,0764569244,9780764569241,384,55,4,2004-09-17,Wiley,Wiley
81,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27,0471933821,9780471933823,260,9,0,2006-06-06,Wiley,Wiley
82,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39,0764559915,9780764559914,391,22,1,2004-05-31,Wiley,Wiley
83,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89,0764584383,9780764584381,864,17,3,2005-04-25,Wiley,Wiley
84,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,0596523696,9780596523695,873,166,4,2006-07-29,O'Reilly Media,O'Reilly Media
85,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,0806523492,9780806523491,240,50,5,2005-05-03,Citadel,Citadel
86,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,0806525363,9780806525365,206,13,2,2005-05-03,Citadel,Citadel
87,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48,0596527314,9780596527310,514,64,1,2007-01-01,O'Reilly Media,O'Reilly Media
88,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,0143035002,9780143035008,838,16643,1851,2004-05-31,Penguin Classics,Penguin
89,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,0451528611,9780451528612,960,109420,5696,2002-11-05,Signet,Signet
90,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,0140449175,9780140449174,837,2904,309,2003-01-30,Penguin Books,Penguin
91,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,0822001837,9780822001836,80,16,3,1965-11-26,Cliffs Notes,Cliffs Notes
92,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,1593080271,9781593080273,803,9564,726,2003-07-01,Barnes & Noble Classics,Barnes & Noble
93,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,0486437965,9780486437965,752,474,72,2004-11-23,Dover Publications,Dover Publications
94,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,9781593081775,803,303,48,2004-08-26,Barnes & Noble,Barnes & Noble
95,Dinner with Anna Karenina,Gloria Goldreich,2.99,0778322270,9780778322276,360,411,65,2006-01-28,Mira Books,Mira
96,Tolstoy: Anna Karenina,Anthony Thorlby,4.19,0521313252,9780521313254,128,1204,33,1987-11-26,Cambridge University Press,Cambridge University Press
97,Untouchable,Mulk Raj Anand/E.M. Forster,3.71,0140183957,9780140183955,160,3429,279,1990-07-03,Penguin Books,Penguin
98,The Untouchable,John Banville,3.95,0679767479,9780679767473,367,2163,216,1998-06-30,Vintage,Vintage
99,The Untouchables,Eliot Ness/Oscar Fraley,3.89,1568491980,9781568491981,256,613,31,1996-02-01,Buccaneer Books,Buccaneer Books
100,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,0743270797,9780743270793,320,308,40,2005-09-27,Scribner,Scribner
101,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2,0932863051,9780932863058,100,10,0,1995-01-28,Clarity Press,Clarity Press
102,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,0742508803,9780742508804,224,16,4,2000-12-20,Rowman & Littlefield Publishers,Rowman & Littlefield
103,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4,0205358624,9780205358625,216,10,0,2003-09-22,Pearson,Pearson
104,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.0,1557344035,9781557344038,48,17,0,1991-09-28,Teacher Created Resources,Teacher Created Resources
105,Wrinkles in Time,George Smoot/Keay Davidson,4.01,0380720442,9780380720446,360,1035,23,1994-10-01,Harper Perennial,Harper Perennial
106,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0,0821925326,9780821925324,250,36,6,2002-05-01,EMC/Paradigm Publishing,Paradigm Publishing
107,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6,043927169X,9780439271691,32,15,0,2002-01-01,Teaching Resources,Teaching Resources
108,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,0751506435,9780751506433,367,376,17,1994-06-01,Little  Brown Book Group,"Little, Brown and Company"
109,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9780060786717,352,3086,237,2006-01-03,William Morrow,William Morrow
110,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,0743499344,9780743499347,320,352,44,2005-11-01,Atria Books,Atria
111,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,0765313405,9780765313409,331,9852,633,2006-03-07,Tor Books,Tor Books
112,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,1400032490,9781400032495,244,821,78,2004-08-10,Vintage Crime/Black Lizard,Vintage
113,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,9781400032488,215,731,72,2005-03-08,Vintage Crime/Black Lizard,Vintage
114,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466,9781400032464,191,2897,178,2004-08-10,Vintage Crime/Black Lizard,Vintage
115,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,0679732527,9780679732525,144,98,11,1990-10-03,Vintage,Vintage
116,I am Charlotte Simmons,Tom Wolfe,3.42,0312424442,9780312424442,738,20888,1688,2005-08-30,Picador USA,Picador
117,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91,0806930772,9780806930770,48,66,19,2001-10-01,Sterling,Sterling
118,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,0140366601,9780140366600,287,81,6,1996-10-03,Puffin,Puffin
119,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,0811201120,9780811201124,217,981,52,1964-02-01,New Directions Publishing,New Directions
120,Quiet Days in Clichy,Henry Miller,3.69,080213016X,9780802130167,154,3381,141,1994-01-13,Grove Press,Grove Press
121,Tropic of Cancer,Henry Miller/Jiří Níl,3.68,0802131786,9780802131782,318,53206,2376,1994-01-06,Grove Press,Grove Press
122,Tropic of Capricorn,Henry Miller,3.78,0802151825,9780802151827,348,14872,459,1994-01-13,Grove Press,Grove Press
123,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,0802151787,9780802151780,316,3261,58,1994-01-13,Grove Press,Grove Press
124,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,0802151809,9780802151803,506,7805,251,1994-01-12,Grove Press,Grove Press
125,The Air-Conditioned Nightmare,Henry Miller,3.83,0811201066,9780811201063,292,2699,142,1970-01-17,New Directions,New Directions
126,The Portrait of a Lady,Henry James/Patricia Crick,3.78,0141439637,9780141439631,797,61640,1951,2003-09-30,Penguin Classics,Penguin
127,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,1593080964,9781593080969,635,392,41,2004-01-16,Barnes  Noble Classics,Barnes & Noble
128,Writing,Marguerite Duras,3.75,1571290532,9781571290533,91,778,44,1999-05-06,Brookline Books,Brookline Books
129,The War,Marguerite Duras/Barbara Bray,3.85,1565842219,9781565842212,192,963,65,1994-08-01,The New Press,The New Press
130,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,0394743040,9780394743042,181,2057,128,1986-03-12,Pantheon,Pantheon
131,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,1851681825,9781851681822,178,203,8,1999-07-01,One World (UK),One World
132,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,156656249X,9781566562492,464,35,2,1998-04-01,Interlink Publishing Group,Interlink Publishing
133,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,014019553X,9780140195538,102,328,16,1998-01-01,Penguin Books,Penguin
134,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,0394431243,9780394431246,216,1308,82,1995-02-21,Knopf,Knopf
135,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,0806501901,9780806501901,132,6432,517,2003-03-03,Citadel,Citadel
136,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,067943920X,9780679439202,100,3015,217,2011-06-14,Knopf,Knopf
137,Treasure Island,Robert Louis Stevenson,3.83,0753453800,9780753453803,311,318753,6734,2001-09-15,Kingfisher,Kingfisher
138,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,1402714572,9781402714573,213,420,42,2004-10-01,Sterling Children's Books,Sterling
139,Treasure Island,Robert Louis Stevenson,3.83,1416500294,9781416500292,245,5967,276,2005-06-01,Simon & Schuster,Simon & Schuster
140,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83,0689854684,9780689854682,64,104,14,2003-07-01,Atheneum Books for Young Readers,Atheneum
141,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83,0517221144,9780517221143,272,56,4,2002-09-03,Gramercy Books,Gramercy
142,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05,1577658051,9781577658054,232,91,16,2006-01-31,Abdo Publishing Company,Abdo
143,100 Years of Lynchings,Ralph Ginzburg,4.61,0933121180,9780933121188,270,88,4,1996-11-22,Black Classic Press,Black Classic Press
144,On Beyond Zebra!,Dr. Seuss,4.04,0394800842,9780394800844,64,2815,164,1955-09-12,Random House Books for Young Readers,Random House
145,The Wedding Clause,Debbie Raleigh,3.6,0821778250,9780821778258,256,95,13,2005-06-07,Zebra,Zebra
146,The Zebra Wall,Kevin Henkes,3.44,0060733039,9780060733032,147,217,24,2005-02-15,Greenwillow Books,Greenwillow
147,The Door Into Summer,Robert A. Heinlein,4.01,0345413997,9780345413994,304,17232,649,1997-06-17,Del Rey,Del Rey
148,Stranger in a Strange Land,Robert A. Heinlein,3.92,0441788386,9780441788385,528,251872,6241,1991-10-01,Ace,Ace
149,To Sail Beyond the Sunset,Robert A. Heinlein,3.87,0441748600,9780441748600,434,10293,193,1988-06-01,Ace Books,Ace
150,Job: A Comedy of Justice,Robert A. Heinlein,3.78,0345316509,9780345316509,439,15970,438,1985-10-12,Del Rey,Del Rey
151,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97,0765314932,9780765314932,256,6898,200,2006-08-08,Tor Books,Tor Books
152,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06,0671742515,9780671742515,307,67803,1401,1991-02-15,Pocket Books,Pocket Books
153,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93,0345455290,9780345455291,298,22091,746,2005-04-26,Del Rey,Del Rey
154,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14,0345476514,9780345476517,368,2623,49,2005-12-27,Del Rey,Del Rey
155,Douglas Adams's Starship Titanic,Terry Jones,3.6,0345368436,9780345368430,256,885,84,1998-10-27,Ballantine Books,Ballantine
156,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93,1417622857,9781417622856,336,5,0,2003-07-01,Turtleback Books,Turtleback
157,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13,0573650969,9780573650963,72,100,13,2011-01-12,Samuel French  Inc.,Samuel French
158,On Bullshit,Harry G. Frankfurt,3.57,0691122946,9780691122946,67,9358,995,2005-01-30,Princeton University Press,Princeton University Press
159,Another Bullshit Night in Suck City,Nick Flynn,3.78,0393329402,9780393329407,347,9318,907,2005-09-12,W. W. Norton & Company,W. W. Norton
160,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14,0671867423,9780671867423,317,120,15,1993-06-12,Simon & Schuster,Simon & Schuster
161,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53,0395883970,9780395883976,32,5239,76,1998-02-02,HMH Books for Young Readers,Houghton Mifflin Harcourt
162,Underworld,Don DeLillo,3.92,0684848155,9780684848150,827,1505,175,1998-07-09,Scribner,Scribner
163,Libra,Don DeLillo,3.99,0140156046,9780140156041,480,11857,564,1991-05-01,Penguin,Penguin
164,Americana,Don DeLillo,3.43,0140119485,9780140119480,377,393,55,1989-07-06,Penguin Books,Penguin
165,Running Dog,Don DeLillo,3.43,0679722947,9780679722946,256,1356,72,1989-07-17,Vintage Contemporaries,Vintage
166,Cosmopolis,Don DeLillo,3.22,0743244257,9780743244251,224,460,41,2004-04-06,Scribner,Scribner
167,Great Jones Street,Don DeLillo,3.48,0140179178,9780140179170,272,2492,145,1994-01-01,Penguin Books,Penguin
168,The Names,Don DeLillo,3.64,0679722955,9780679722953,339,3100,212,1989-07-17,Vintage,Vintage
169,Against the Day,Thomas Pynchon,4.13,159420120X,9781594201202,1085,5296,587,2006-11-21,Penguin Press,Penguin
170,V.,Thomas Pynchon,3.96,0060930217,9780060930219,547,1415,177,2005-07-05,Harper Perennial Modern Classics,Harper Perennial
171,The Crying of Lot 49,Thomas Pynchon,3.69,0060931671,9780060931674,152,2161,230,1999-04-01,Harper Perennial,Harper Perennial
172,Gravity's Rainbow,Thomas Pynchon,4.01,0140283382,9780140283389,784,762,213,2000-01-01,Penguin Books,Penguin
173,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07,0312423209,9780312423209,773,8086,602,2004-01-03,Picador USA,Picador
174,Vineland,Thomas Pynchon,3.69,0141180633,9780141180632,385,702,69,1997-09-01,Penguin Classics,Penguin
175,Gravity's Rainbow,Thomas Pynchon,4.01,0143039946,9780143039945,776,29764,2164,2006-10-31,Penguin Books,Penguin
176,Slow Learner: Early Stories,Thomas Pynchon,3.5,0316724432,9780316724432,193,334,34,1985-04-30,Back Bay Books,Back Bay Books
177,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8,0140189300,9780140189308,352,2473,220,1996-08-29,Penguin Classics,Penguin
